"Time (s)","Pressure (hPa)"
1.694207870E2,9.845069885E2
1.703793790E2,9.845069885E2
1.713380590E2,9.844859314E2
1.722967680E2,9.844105530E2
1.732554060E2,9.842977142E2
1.742140700E2,9.841330719E2
1.751727410E2,9.839321136E2
1.761314440E2,9.837036133E2
1.770900430E2,9.834352112E2
1.780486410E2,9.831504059E2
1.790072800E2,9.828769684E2
1.799659640E2,9.826269531E2
1.809246560E2,9.824044037E2
1.818833870E2,9.822427368E2
1.828420310E2,9.821248627E2
1.838006340E2,9.820457458E2
1.847591530E2,9.820020294E2
1.857176390E2,9.820020294E2
1.866761580E2,9.820215607E2
1.876347040E2,9.820796204E2
1.885932450E2,9.821762085E2
1.895518390E2,9.823027802E2
1.905103760E2,9.824662018E2
1.914689400E2,9.826603699E2
1.924274920E2,9.828984833E2
1.933861320E2,9.831557465E2
1.943447690E2,9.834239960E2
1.953033050E2,9.836797333E2
1.962619250E2,9.839109039E2
1.972205560E2,9.841043854E2
1.981791150E2,9.842559814E2
1.991376390E2,9.843671417E2
2.000962420E2,9.844483185E2
2.010547430E2,9.845021820E2
2.020132760E2,9.845378876E2
2.029717200E2,9.845581055E2
2.039301130E2,9.845699310E2
2.048885280E2,9.845780182E2
2.058469570E2,9.845780182E2
2.068053330E2,9.845742035E2
2.077637450E2,9.845602417E2
2.087221550E2,9.845318604E2
2.096805010E2,9.844808960E2
2.106388720E2,9.844128418E2
2.115971610E2,9.843438721E2
2.125554660E2,9.842641449E2
2.135137320E2,9.841825104E2
2.144720210E2,9.841143799E2
2.154303310E2,9.840462494E2
2.163886520E2,9.839714813E2
2.173469790E2,9.839029694E2
2.183053230E2,9.838448334E2
2.192636860E2,9.837902832E2
2.202220120E2,9.837448120E2
2.211803740E2,9.837061310E2
2.221387370E2,9.836671448E2
2.230971470E2,9.836347961E2
2.240555750E2,9.836062622E2
2.250140430E2,9.835848236E2
2.259724200E2,9.835736847E2
2.269307370E2,9.835694885E2
2.278890710E2,9.835646057E2
2.288474260E2,9.835565948E2
2.298057220E2,9.835565948E2
2.307640170E2,9.835705566E2
2.317222990E2,9.836132812E2
2.326805650E2,9.836509705E2
2.336388870E2,9.836924744E2
2.345972150E2,9.837390900E2
2.355555330E2,9.837390900E2
2.365138200E2,9.837210846E2
2.374720000E2,9.836985016E2
2.384301440E2,9.836824799E2
2.393883700E2,9.836262512E2
2.403466480E2,9.835724640E2
2.413048970E2,9.835401917E2
2.422631210E2,9.835198975E2
2.432213180E2,9.834912872E2
2.441794880E2,9.834799957E2
2.451376390E2,9.834595490E2
2.460957800E2,9.834049988E2
2.470537990E2,9.833233643E2
2.480118270E2,9.832339478E2
2.489698240E2,9.831457520E2
2.499278790E2,9.830592346E2
2.508859740E2,9.829866028E2
2.518440010E2,9.829273987E2
2.528020010E2,9.828693390E2
2.537599720E2,9.828089142E2
2.547179600E2,9.827610779E2
2.556759760E2,9.827068329E2
2.566339860E2,9.826496887E2
2.575919680E2,9.825959778E2
2.585500000E2,9.825598145E2
2.595080060E2,9.825269318E2
2.604659690E2,9.825019073E2
2.614238170E2,9.824835968E2
2.623817110E2,9.824636078E2
2.633395560E2,9.824147797E2
2.642974240E2,9.823521423E2
2.652552850E2,9.822720337E2
2.662131490E2,9.821733093E2
2.671709820E2,9.820668793E2
2.681288450E2,9.819770050E2
2.690867990E2,9.818931580E2
2.700447210E2,9.818138885E2
2.710025410E2,9.817438507E2
2.719603990E2,9.816726685E2
2.729182800E2,9.815962219E2
2.738761870E2,9.815127563E2
2.748340850E2,9.814328003E2
2.757919460E2,9.813550568E2
2.767497700E2,9.812791443E2
2.777076090E2,9.812120056E2
2.786654700E2,9.811695862E2
2.796233390E2,9.811341858E2
2.805812060E2,9.811118317E2
2.815389840E2,9.811118317E2
2.824968240E2,9.811150360E2
2.834546030E2,9.811174011E2
2.844123640E2,9.811238861E2
2.853701610E2,9.811273956E2
2.863278330E2,9.811331177E2
2.872855430E2,9.811460114E2
2.882431990E2,9.811614990E2
2.892009070E2,9.811644745E2
2.901586760E2,9.811644745E2
2.911164920E2,9.811387634E2
2.920743330E2,9.810813141E2
2.930320930E2,9.809977722E2
2.939899130E2,9.809027863E2
2.949476870E2,9.807878876E2
2.959054860E2,9.806731415E2
2.968633150E2,9.805595398E2
2.978210920E2,9.804492188E2
2.987788390E2,9.803412628E2
2.997366150E2,9.802287292E2
3.006944200E2,9.801121521E2
3.016522140E2,9.799944305E2
3.026099060E2,9.798867798E2
3.035676020E2,9.797966003E2
3.045253250E2,9.797300720E2
3.054829820E2,9.796822357E2
3.064406390E2,9.796485901E2
3.073983310E2,9.796183014E2
3.083560040E2,9.795752716E2
3.093136580E2,9.795269012E2
3.102713910E2,9.794578552E2
3.112290420E2,9.793634033E2
3.121867370E2,9.792533875E2
3.131443900E2,9.791315460E2
3.141020050E2,9.790035248E2
3.150595490E2,9.788845062E2
3.160171730E2,9.787947845E2
